min,CH1,CH2,CH40,CH41,CH42,
54.0561,6.84477,0.0427246,6.80186,27.2727,228548,
54.0561,6.84286,0.0427246,6.80411,27.2727,225327,
54.0561,6.84,0.0396729,6.80632,27.2727,220718,
54.0562,6.8381,0.0488281,6.80847,27.2727,214767,
54.0562,6.83619,0.0457764,6.81054,27.2727,207701,
54.0562,6.83429,0.0488281,6.81254,27.2727,199731,
54.0563,6.83334,0.0427246,6.81445,27.2727,191054,
54.0563,6.83143,0.0518799,6.81627,27.2727,181853,
54.0563,6.83048,0.0396729,6.81799,27.2727,172207,
54.0564,6.82953,0.0427246,6.81962,27.2727,162281,
54.0564,6.82857,0.0396729,6.82114,27.2727,152226,
54.0564,6.82762,0.0457764,6.82256,27.2727,142091,
54.0565,6.82762,0.0518799,6.82388,27.2727,132010,
54.0565,6.82762,0.0488281,6.8251,27.2727,122198,
54.0565,6.82857,0.0457764,6.82623,27.2727,112849,
54.0566,6.82953,0.0427246,6.82727,27.2727,104138,
54.0566,6.83238,0.0488281,6.82823,27.2727,96314.7,
54.0566,6.83524,0.0427246,6.82913,27.2727,89692.2,
54.0567,6.83905,0.0518799,6.82998,27.2727,84463.9,
54.0567,6.84286,0.0396729,6.83078,27.2727,80710.8,
54.0567,6.84762,0.0457764,6.83157,27.2727,78501.6,
54.0568,6.85239,0.0427246,6.83235,27.2727,77893.4,
54.0568,6.8562,0.0488281,6.83313,27.2727,78752.3,
54.0568,6.86096,0.0396729,6.83394,27.2727,80860.4,
54.0569,6.86382,0.0457764,6.83478,27.2727,84013.4,
54.0569,6.86763,0.0457764,6.83566,27.2727,87930.7,
54.0569,6.87049,0.0427246,6.83659,27.2727,92442.3,
54.057,6.87239,0.0427246,6.83756,27.2727,97300.9,
54.057,6.8743,0.0457764,6.83858,27.2727,102188,
54.057,6.8762,0.0457764,6.83965,27.2727,106994,
54.0571,6.87715,0.0457764,6.84077,27.2727,111617,
54.0571,6.87811,0.0488281,6.84193,27.2727,115875,
54.0571,6.87715,0.0366211,6.84312,27.2727,119512,
54.0572,6.8762,0.0366211,6.84434,27.2727,122209,
54.0572,6.87334,0.0305176,6.84558,27.2727,123675,
